org_uuid,acquirer_uuid,acquirer_name,acquired_on,price_usd
dd41fe78-d08b-cb86-923c-e3481284ca26,71d51015-1800-ed61-8bc3-8dca49caec15,Yahoo,2007-04-29,850000000.0
334397a2-0309-974d-3ed1-e1f5f9760b12,1d1b8831-e7d4-c226-dbf1-cb502a6c5403,SafeNet,2008-02-28,0.0
1d1b8831-e7d4-c226-dbf1-cb502a6c5403,4020f132-fd1f-2055-46dd-163613c4e750,Woven Systems,2007-04-12,0.0
5d799283-139c-c3a1-5ea9-ddbbb020ed15,70c2d236-e50f-ac22-dc5d-e6df26cb4b41,Mzinga,2008-03-03,0.0
8e888ba8-2e25-98a4-bcc8-665205c7d9af,d5ecc455-7570-1f3f-a8a3-8b8417679c1b,Spot Runner,2008-03-03,0.0
bb94c6b5-6450-a3a9-dd9e-e325b7febb07,df535df4-1d9c-ee05-b259-784e5066270e,Experian,2004-03-04,0.0
6fa4c220-b08b-1e54-0f10-d4c04cbb537c,df535df4-1d9c-ee05-b259-784e5066270e,Experian,2007-04-19,240000000.0
a1c13760-e7d3-10bc-ecbb-a4e3060be243,df535df4-1d9c-ee05-b259-784e5066270e,Experian,2006-01-27,150693723.0
30c637b7-5921-0263-62b9-0550cbc3da0e,df535df4-1d9c-ee05-b259-784e5066270e,Experian,2005-05-05,0.0
54fd6601-03d0-6ff4-df1a-1013ce4386f6,7501994d-dc2c-f877-3482-e0fb41e21807,Leaf Group,2008-03-04,0.0
bd9296ff-1411-f4ac-ee96-d4f72a73fb80,337178f9-4515-cca1-9da9-0c3c89848ffa,Gazprom-Media,2008-03-01,15000000.0
e54dcae5-3701-762c-7226-294a7ec052ba,3f2b5885-4257-0d74-f05a-7b9a89bf77f7,Hearst Communications,2007-09-01,100000000.0
676d1e6d-4c8d-ae78-9882-89c9be0d97a0,6ef01709-7950-75bb-7c69-462b2243d853,Ticketmaster,2001-03-09,0.0
6ef01709-7950-75bb-7c69-462b2243d853,f96c0149-d245-d86b-d0b5-5b2040f5bec4,IAC,2003-01-16,0.0
19f7c50b-ccfb-7076-4fac-217c96be4eb8,e5c42bcc-71b4-0857-8782-ffae92a45eae,Dell EMC,2008-02-21,0.0
e534019d-9cda-89c3-09b2-31258e897af0,fd80725f-53fc-7009-9878-aeecf1e9ffbb,Microsoft,2008-03-08,0.0
5a53a014-c881-ef77-3621-7f924d61eac7,25ce048c-82da-4245-bc5d-13a42de669d5,Visible Measures,2008-01-28,0.0
f31cc001-ee04-115f-6756-56fce1d7579b,1ecc8eff-53f9-ac39-2624-a2a15d75ad90,Kewego,2006-03-01,0.0
74a46c3d-d820-428a-22d9-4a06bbb033c9,d6c968f8-cd00-c226-2a2e-9f66d61fb480,Kantar TNS,2008-03-03,150000000.0
a16838c2-639a-ffd3-1089-7f88a756d38d,6acfa7da-1dbd-936e-d985-cf07a1b27711,Google,2008-03-11,0.0
eaf5d02a-4e80-2f72-4402-66e76abb1e18,925f5e67-36eb-4b48-7d2d-8f18277c7430,FriendFinder Networks,2007-12-11,500000000.0
e9022ace-a330-91d2-9096-61d9172dce49,fd80725f-53fc-7009-9878-aeecf1e9ffbb,Microsoft,2008-03-12,90000000.0
18cf5e6e-e986-11c2-fe62-81c6e4b1152d,0cf83157-f7f1-fd5a-148d-a57060f22e5d,AOL,2008-03-13,850000000.0
86fde057-cfbc-f3e3-0d67-a9762e908d71,5570e593-42ec-99e6-9397-00537b229171,Aptum,2004-10-01,0.0
29897833-5dfc-def3-5728-7f99e35bab73,71d51015-1800-ed61-8bc3-8dca49caec15,Yahoo,2007-01-09,10000000.0
07a1c73f-d680-ed56-38ce-d97a43096314,0cf83157-f7f1-fd5a-148d-a57060f22e5d,AOL,2007-11-11,0.0
27437037-21b1-bdf7-e911-d0c5c7984058,0cf83157-f7f1-fd5a-148d-a57060f22e5d,AOL,2008-02-03,0.0
5fbd71d2-0e2c-925d-ef32-ee357ce364fa,fd80725f-53fc-7009-9878-aeecf1e9ffbb,Microsoft,2008-02-27,0.0
ab6ae6e5-bb08-c4d8-c3a4-26f67ba2596e,fd80725f-53fc-7009-9878-aeecf1e9ffbb,Microsoft,2008-03-14,0.0
a86208c4-85a5-9a41-f3cb-fd5d73c8c318,fd80725f-53fc-7009-9878-aeecf1e9ffbb,Microsoft,2007-05-18,6400000000.0
