person_uuid,institution_uuid,institution_name,degree_type,subject,degree_started_on,degree_completed_on,degree_is_completed
b29cd7fb-983c-e63e-8063-a02bb97ec453,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,M.S.,Computer Science,1993-01-01,1995-01-01,True
b29cd7fb-983c-e63e-8063-a02bb97ec453,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,B.S.,Computer Systems Engineering,1989-01-01,1993-01-01,True
7a547476-f957-b41e-6c7d-13a85dfca1e1,bda6a1fb-62b4-a091-42c4-b127539e50cd,University of Cambridge,BA,Archaeology & Social Anthropology,1984-01-01,1988-01-01,True
1b8290b8-c62f-6368-def2-1cfa16e939ea,2a179f2a-993e-f6c0-3d0d-f9b9daf2e710,ESADE,CEMS Master,International Management,1995-09-01,1996-06-01,True
1b8290b8-c62f-6368-def2-1cfa16e939ea,9850bb11-7d5a-85c7-349c-a8977ef7fbac,HEC Paris,MBA,Management / Strategy,1992-09-01,1996-06-01,True
ec74f209-e3bc-7a68-a9db-b8c9df13890e,04e69884-7181-c49a-bd5e-602f907a329f,University of New England,B.Com,Marketing/ eCommerce,2002-01-01,2006-01-01,True
13bb3423-342b-64d1-2014-c7c94501edaa,e596515e-38e2-c9c0-7584-a46a8b1ff871,Cornell University,BA,"College Scholar, Government",1989-01-01,1993-01-01,True
f88b42c1-8a40-2652-ad2a-cdc79463005a,6cca2a58-6c3c-9abb-5380-6de702a56710,Carnegie Mellon University,BS,Electrical and Computer Engineering,1992-01-01,1996-01-01,True
8dd0ea63-d835-3057-5d5d-074468b770e3,7300e89a-2e8e-23d3-3e9a-8f25b2a127f0,Wharton School of the University of Pennsylvania,MBA,unknown,2003-01-01,2005-01-01,True
dbb20aeb-aa46-e2f9-c267-de164a1cead7,10f9a25b-9675-2281-486e-a52955c706df,University of California Berkeley,B.A.,Political Economy of Industrial Societies,1992-01-01,1996-01-01,True
dbb20aeb-aa46-e2f9-c267-de164a1cead7,7300e89a-2e8e-23d3-3e9a-8f25b2a127f0,Wharton School of the University of Pennsylvania,MBA,Global Corporate Development,1998-01-01,2002-01-01,True
ef52b3c5-3517-3223-8252-7404146fb1fd,7300e89a-2e8e-23d3-3e9a-8f25b2a127f0,Wharton School of the University of Pennsylvania,MBA,unknown,1998-01-01,2002-01-01,True
d39e6f7b-b830-cd57-89be-b0123c29850f,81dcd984-1e64-dbfb-71b8-5e5a84e477c1,Franklin University,BS,Computer Science,1997-01-01,2001-01-01,True
bea83301-0588-4710-341f-301373ff62c9,eca8e0ec-e909-e976-7128-1a278b8a8254,University of Aberdeen,Ph.D,Computer Science,1985-01-01,1989-01-01,True
bea83301-0588-4710-341f-301373ff62c9,893f5bc2-2fbf-f531-8597-ec1ea91bb431,Durham University,BS,Computer Science and Electronics,1981-01-01,1985-01-01,True
bc774d54-c192-b726-0c05-af5240d0e44d,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,M.B.A.,unknown,1988-01-01,1992-01-01,True
c910993c-7695-24aa-1fe7-5e686b2ac402,7300e89a-2e8e-23d3-3e9a-8f25b2a127f0,Wharton School of the University of Pennsylvania,MBA,Finance,1976-01-01,1980-01-01,True
4be9ac5d-b222-5f45-4c1d-1b17a39ce550,b6474ab8-1cea-e73c-54ba-36c08e357917,"University of California, Los Angeles",BA,"Political Science, Business",1993-01-01,1997-01-01,True
0ecfb839-aef6-0899-160e-2120a4617a27,dcb99002-9225-c513-27c6-9002b6103bc0,Yale University,BS,Biomedical Engineering,2004-01-01,2008-01-01,True
5b9f2bc3-df98-a448-6088-b612ee528467,10f9a25b-9675-2281-486e-a52955c706df,University of California Berkeley,MBA,Business,1992-01-01,1996-01-01,True
587c72c7-6d79-f12b-89f7-d63a5ba4fba3,d8b57c0e-9f0f-4dcb-d207-a12a90c64a2d,Harvard University,BA,Urban Studies,1984-01-01,1988-01-01,True
587c72c7-6d79-f12b-89f7-d63a5ba4fba3,630773ca-bbdf-bb41-2985-41a23ffdd01a,Harvard Business School,MBA,unknown,1990-01-01,1994-01-01,True
587c72c7-6d79-f12b-89f7-d63a5ba4fba3,d8b57c0e-9f0f-4dcb-d207-a12a90c64a2d,Harvard University,MPA,International Affairs,1996-01-01,2000-01-01,True
c1dcceeb-9574-4665-01a5-0fc8d9732787,7300e89a-2e8e-23d3-3e9a-8f25b2a127f0,Wharton School of the University of Pennsylvania,Certificate,"Finance, Entrepreneurship",1984-01-01,1988-01-01,True
e83dc06b-6311-cb24-426e-21a00c1191b5,ed3b60a6-3045-7e5f-b265-45b88b1b6224,Carleton University,unknown,unknown,1994-01-01,1998-01-01,True
12bb6a69-18f4-15ed-4f05-3eecc4d19220,6e2f186a-f81d-4cb6-c8c5-5bea8b676ed6,University of Virginia,BS,Business,1992-01-01,1997-01-01,True
64837d3a-9266-ab20-b2fb-b3138310878c,ea148ca6-363d-04e4-c6eb-4219a3c5a076,Technion,BS,Electronic Engineering,1973-01-01,1977-01-01,True
64837d3a-9266-ab20-b2fb-b3138310878c,c1104246-ce96-71f5-bd39-8f9bca126006,Babson College,MBA,"Entrepreneurship, Finance",1996-01-01,2000-01-01,True
d91d2fbf-60bf-cb78-c6f6-2dbb452e559a,89b9eb4b-d4d9-a1c5-f79f-a564669ba089,University of Sydney,unknown,"Accounting, Finance, business law",2000-01-01,2004-01-01,True
47b86f1d-58ab-7afd-3882-1fe276e00909,856b65d7-1ce3-7893-96f5-9dfc88f6c741,Dartmouth College,BA,History,1997-01-01,2001-01-01,True
b40469a4-1619-6966-9725-a588f6d307ee,856b65d7-1ce3-7893-96f5-9dfc88f6c741,Dartmouth College,BA,History,1988-01-01,1992-01-01,True
77c6dc35-7853-6efa-5aec-1e908530d5c8,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,MS,Computer Science,1996-01-01,2000-01-01,True
0257508b-0080-b260-d872-e5568f557cd1,6599f877-7c83-0c47-b05b-dbedd3db7b3a,Massachusetts Institute of Technology,BS,Computer Science and Mathematics,1992-01-01,1996-01-01,True
50e9ddfe-b2bb-2272-edcc-4d92a2cdf393,5f84d9fa-78fd-14b0-d335-5ac3561cdc0a,Northeastern University,BS,Journalism,1980-01-01,1984-01-01,True
4b47ec41-5ec6-a67b-d63b-03d6701fe161,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,Certificate,Computer Science,1998-01-01,2002-01-01,True
546671a5-dada-d084-317e-03ea33d6acde,dcb99002-9225-c513-27c6-9002b6103bc0,Yale University,BS,"Physics, Math",1998-01-01,2002-01-01,True
546671a5-dada-d084-317e-03ea33d6acde,dcb99002-9225-c513-27c6-9002b6103bc0,Yale University,MBA,Finance and Strategy,2002-01-01,2006-01-01,True
9ba154dd-dd84-d6ce-94e5-b72e28d4b40f,04547730-a420-8df5-85f5-b1fb68e8d0eb,University of Puget Sound,BA,English Literature,1994-01-01,1998-01-01,True
37983020-2997-2281-3f78-4e495ae37b8b,c7fd957d-3372-b263-433a-d431c9257d4a,The College of New Jersey,BS,Computer Sciences,1985-01-01,1989-01-01,True
ee0c97c4-d45d-b56d-308b-2e27fd33b12a,e72aab01-fbef-7d21-ac1d-84ee1413fddd,University of Pennsylvania,MBA,Marketing and management,1984-01-01,1988-01-01,True
ee0c97c4-d45d-b56d-308b-2e27fd33b12a,b6474ab8-1cea-e73c-54ba-36c08e357917,"University of California, Los Angeles",BA,Economics,1982-01-01,1986-01-01,True
86f1effb-af33-a214-16a0-d56b622891a7,3b4faff0-708e-8c1c-83f0-6fea01016519,Indiana University Bloomington,BA,Telecommunications,1999-01-01,2003-01-01,True
c1c77604-8c3a-996f-a9b4-bd29ccdffbbf,84d0d286-6031-9003-9098-26f375f9d100,University OF Chicago,MBA,unknown,2001-01-01,2005-01-01,True
c1c77604-8c3a-996f-a9b4-bd29ccdffbbf,1eab62d2-15d9-0db7-930f-2aa77d4688e1,Boston University,BA,Literature,1988-01-01,1992-01-01,True
c1c77604-8c3a-996f-a9b4-bd29ccdffbbf,a8210770-d2fa-bdf4-c54b-6dd9fa58b7db,University of New Hampshire,MA,Literature,2000-01-01,2004-01-01,True
