org_uuid,org_name,type,parent_uuid,parent_name
9f47abd8-9ce5-2685-0090-3ab58f4407bf,Goodreads,organization,05554f65-6aa9-4dd1-6271-8ce2d60f10c4,Amazon
ae1ec5c5-5352-cd5d-8db5-220b46626b12,KAYAK,organization,935f01aa-9de7-9683-827a-c8eac0f9af2d,Booking Holdings
0fb9e02a-26a7-b8d3-535d-b17a1bb35a95,Contango Capital Partners,organization,dc7cafad-ed2f-fb69-db14-d7b95136a21a,Contango Asset Management
bd62aace-259b-5cba-470c-04feb0f8a7ac,Nintendo,organization,f62542ba-e180-4ff5-a0c7-7c4f9b2acc1a,Nintendo Japan
c6a515d7-1b0e-634f-33c5-1808cd655abb,Adobe Ventures,organization,172a34b4-9edd-b0ae-c768-cbfa8e1ab52c,Adobe
b7e955e4-dffa-38d4-1ef6-28257d06c4b9,ORIX Venture Finance,organization,13374e7e-f8a5-aa62-9620-bd211907470f,ORIX USA Corporation
6058e080-a00d-e060-b9d6-a9565517bf98,Onaro,organization,bbd3ae58-58e2-d81c-42bf-97d4a07ac0d1,NetApp
e5d9f64f-e402-67e0-b714-82f0e43df81c,Meraki,organization,e0906c05-fae5-9591-ba5f-2142d8b0065a,Cisco
5f3be24c-05b6-0f0b-7aa2-d33da70e1b1d,Woot,organization,05554f65-6aa9-4dd1-6271-8ce2d60f10c4,Amazon
d1ce0141-2c7d-74ee-f526-74da201dc298,Pritzker Group Venture Capital,organization,511190ae-d6eb-44bc-971e-f599606a3968,Pritzker Group
732d750b-2c9f-4172-9c1d-6c1f633789d3,Smaato,organization,891c8043-ff46-3ed0-cc74-1f36d93d59b3,Verve Group
cc8a583f-ce5e-42fb-b82d-1888a09729cd,Badoo,organization,fd78299e-173b-4e2d-98a4-d684abdeca83,MagicLab
14216a4f-d96d-2773-8469-85aefe3a670e,IDG Ventures Vietnam,organization,f7f07fa2-f254-ccf0-a898-061b97d7e617,Chiratae Ventures
89ea3dab-6e0d-84de-c2a4-28a26986e7d7,Mashery,organization,1e4f199c-363b-451b-a164-f94571075ee5,Intel
f3716725-552d-b9b5-59ad-de4ec64b1751,Intel Capital,organization,1e4f199c-363b-451b-a164-f94571075ee5,Intel
ee1b2fce-f91d-92e8-d53f-6dba68e3c44e,Darby Technology Ventures,organization,94ec7fb7-ecfa-292c-1c83-854c92bfe069,Franklin Templeton Investments
3c53768b-a435-57ba-49bf-fffc3ec58fad,Mitsui Global Investment,organization,01e6c0e2-7ade-7764-6c1a-868f39b88444,Mitsui & Co
6fb702b5-f41c-9d7b-21be-44a995dc6f6e,Heroku,organization,f5c477fa-6e8c-3d64-4f2d-3603e5cc3340,Salesforce
4e83675e-018e-bf0e-a1d8-7c77d5cd01e5,Taunt Media,organization,5a1764d4-330a-4ee8-8beb-12eedebce1d6,Innkle
98345bee-0ead-0020-25c7-c09117b370d0,HotPads,organization,b8383b43-e059-21d0-7b3f-592b4b863295,Zillow Group
cd801200-23b9-f6ab-332e-202b783770bd,Ashley Madison,organization,e8364b6a-3806-687a-04f5-daad33c28279,ruby
60208d6f-6e94-21f4-17f0-bba039d5f3c5,SEB Venture Capital,organization,e72dcdd4-665f-a168-3862-33727eded6f4,SEB (Skandinaviska Enskilda Banken)
a16838c2-639a-ffd3-1089-7f88a756d38d,DoubleClick,organization,6acfa7da-1dbd-936e-d985-cf07a1b27711,Google
